title,authors,abstract,published,year,url,source,doi
"Integrating ChatGPT, Bard, and Leading-Edge Generative Artificial Intelligence in Architectural Design and Engineering: Applications, Framework, and Challenges","Nitin Liladhar Rane, Saurabh P. Choudhary, Jayesh Rane","This research paper investigates the integration of advanced generative artificial intelligence (AI) models, such as ChatGPT, Bard, and similar architectures, in architectural design and engineering.The comprehensive study explores various aspects, including applications, frameworks, challenges, and prospective developments in the context of architectural design and architectural engineering.In architectural design, the paper investigates the transformative impact on Architectural Theory, highlighting how generative AI fosters creativity and innovation in design thinking.The Design Process is scrutinized, showcasing how AI models streamline ideation, iteration, and collaboration among design teams.Furthermore, the research examines the influence of generative AI in Interior Design, Urban Design and Planning, and considers nuanced aspects of Cultural and Social factors, elucidating how these technologies contribute to inclusive and context-sensitive design practices.In architectural engineering, the study assesses the integration of generative AI in Structural Engineering, demonstrating its potential to optimize and innovate structural analysis and designs for enhanced safety and efficiency.It explores applications in Building Systems and Construction Management, illustrating how AI can streamline project workflows and resource allocation.The impact of generative AI on compliance with Building Codes and Regulations is analyzed, emphasizing its potential for error reduction and adherence to standards.Additionally, the research probes into the influence of AI in Materials and Construction Technology, highlighting advancements in material selection and construction methodologies.The paper also investigates the role of generative AI in promoting Sustainability and Environmental Design, showcasing its potential to optimize energy efficiency, reduce environmental impact, and enhance overall sustainability.Finally, the paper outlines the challenges and future directions for development to fully harness the potential of generative AI in shaping the future of architectural design and engineering.",,2023.0,https://openalex.org/W4391685823,openalex,
Wireless Video Monitoring of the Megacities Transport Infrastructure,Dmitry Kalistratov,"The article discusses the development of megacities transport infrastructure. The problem of traffic congestion is touched upon, the task of optimal road design is justified. In the context of these issues gives a system of wireless video monitoring of traffic flows on base of digital panoramic video images. The main objective is to obtain a universal mathematical model for the description of a radio signal with any type of digital modulation. This will greatly facilitate the parametric calculation of the radio channel for image transmission and the design of the monitoring system. The objective is achieved by applying the Fourier method of separation of variables in combination with computer simulation methods. As result, a highly accurate universal mathematical model of radio signal with digital modulation is proposed. The scientific novelty of the model is that it allows to simulate the propagation of a radio signal with an arbitrary waveform. Thanks to this, the model covers almost all common types of digital modulation of the radio signal. In addition, the model takes into account the internal noise of the equipment and the external interference of the radio channel. The article describes in detail the process of solving the wave equation, underlying the model. Examples of modeling are given, the advantages and disadvantages of the model are indicated. Recommendations are made on its use for calculating radio channels and designing systems for analyzing and developing the transport infrastructure of a megacity.",,2019.0,https://openalex.org/W2945707806,openalex,
"Enabling Technologies for Urban Smart Mobility: Recent Trends, Opportunities and Challenges","Sara Paiva, Mohd Abdul Ahad, Gautami Tripathi, Noushaba Feroz, Gabriella Casalino","The increasing population across the globe makes it essential to link smart and sustainable city planning with the logistics of transporting people and goods, which will significantly contribute to how societies will face mobility in the coming years. The concept of smart mobility emerged with the popularity of smart cities and is aligned with the sustainable development goals defined by the United Nations. A reduction in traffic congestion and new route optimizations with reduced ecological footprint are some of the essential factors of smart mobility; however, other aspects must also be taken into account, such as the promotion of active mobility and inclusive mobility, encouraging the use of other types of environmentally friendly fuels and engagement with citizens. The Internet of Things (IoT), Artificial Intelligence (AI), Blockchain and Big Data technology will serve as the main entry points and fundamental pillars to promote the rise of new innovative solutions that will change the current paradigm for cities and their citizens. Mobility-as-a-service, traffic flow optimization, the optimization of logistics and autonomous vehicles are some of the services and applications that will encompass several changes in the coming years with the transition of existing cities into smart cities. This paper provides an extensive review of the current trends and solutions presented in the scope of smart mobility and enabling technologies that support it. An overview of how smart mobility fits into smart cities is provided by characterizing its main attributes and the key benefits of using smart mobility in a smart city ecosystem. Further, this paper highlights other various opportunities and challenges related to smart mobility. Lastly, the major services and applications that are expected to arise in the coming years within smart mobility are explored with the prospective future trends and scope.",,2021.0,https://openalex.org/W3138924974,openalex,
Archives of Civil Engineering,"Jan Bień, Marek Salamak","Bridges are particularly vulnerable elements of transport infrastructures. In many cases, bridge structures may be subject to higher volumes of traffic and higher loads as well as more severe environmental conditions than it was designed. Sound procedures to ensure monitoring, quality control, and preventive maintenance systems are therefore vital. The paper presents main challenges and arriving possibilities in management of bridge structures, including: relationships between environment and bridge infrastructure, improvement of diagnostic technologies, advanced modelling of bridges in computer-based management systems, development of knowledge-based expert systems with application of artificial intelligence, applications of technology of Bridge Information Modelling (BrIM) with augmented and virtual reality techniques. Presented activities are focused on monitoring the safety of bridges for lowering the risk of an unexpected collapse significantly as well as on efficient maintenance of bridges as components of transport infrastructure – by means of integrated management systems. The proposed classification of Bridge Management Systems shows the history of creating such systems and indicates the expected directions of their development, taking into account changing challenges and integrating new developing technologies, including automation of decision-making processes.",,2022.0,https://openalex.org/W4401104458,openalex,
Pavement Inspection in Transport Infrastructures Using Unmanned Aerial Vehicles (UAVs),"Ianca Feitosa, Bertha Santos, Pedro G. Almeida","The growing demand for the transportation of goods and people has led to an increasing reliance on transportation infrastructure, which, in turn, subjects the pavements to high traffic volumes. In order to maintain adequate service and safety standards for users, it is essential to establish effective maintenance strategies that ensure the preservation of pavement conditions. As a result, emerging innovations in pavement surface inspection methods, surpassing traditional techniques in terms of inspection and data processing speed and accuracy, have garnered significant attention. One such groundbreaking innovation in inspection systems that has been tested and used in recent years to assess infrastructure condition is the use of unmanned aerial vehicles (UAVs). This study aims to present a critical open-access literature review on the use of UAVs in the inspection of transportation infrastructure pavement in order to assess the type of equipment used, the technology involved, applicability conditions, data processing, and future evolution. The analysis of relevant literature suggests that the integration of intelligent technologies substantially enhances the accuracy of data collection and the detection of pavement distress. Furthermore, it is evident that most applications and research efforts are oriented towards exploring image processing techniques for the creation of 3D pavement models and distress detection and classification.",,2024.0,https://openalex.org/W4392518158,openalex,
Responsible Software Engineering,Ina Schieferdecker,"Software trustworthiness today is more about acceptance than technical quality; software and its features must be comprehensible and explainable. Since software becomes more and more a public good, software quality becomes a critical concern for human society. And insofar artificial intelligence (AI) has become part of our daily lives—naturally we use language assistants or automatic translation programs—software quality is evolving and has to take into account usability, transparency as well as safety and security. Indeed, a majority worldwide rejects currently the use of AI in schools, in court or in the army because it is afraid of data misuse or heteronomy. Insofar, software and its applications can succeed only if people trust them. The initiatives towards “responsible software engineering” address these concerns. This publication is about raising awareness for responsible software engineering.",,2019.0,https://openalex.org/W2990412642,openalex,
Multi-Agent Systems and Complex Networks: Review and Applications in Systems Engineering,"Manuel Herrera, Marco Pérez Hernández, Ajith Kumar Parlikad, Joaquín Izquierdo","Systems engineering is an ubiquitous discipline of Engineering overlapping industrial, chemical, mechanical, manufacturing, control, software, electrical, and civil engineering. It provides tools for dealing with the complexity and dynamics related to the optimisation of physical, natural, and virtual systems management. This paper presents a review of how multi-agent systems and complex networks theory are brought together to address systems engineering and management problems. The review also encompasses current and future research directions both for theoretical fundamentals and applications in the industry. This is made by considering trends such as mesoscale, multiscale, and multilayer networks along with the state-of-art analysis on network dynamics and intelligent networks. Critical and smart infrastructure, manufacturing processes, and supply chain networks are instances of research topics for which this literature review is highly relevant.",,2020.0,https://openalex.org/W3009077467,openalex,
Mapping and characterising buildings for flood exposure analysis using open-source data and artificial intelligence,"Kushanav Bhuyan, Cees Van Westen, Jiong Wang, Sansar Raj Meena","Abstract The mapping and characterisation of building footprints is a challenging task due to inaccessibility and incompleteness of the required data, thus hindering the estimation of loss caused by natural and anthropogenic hazards. Major advancements have been made in the collaborative mapping of buildings with platforms like OpenStreetMap, however, many parts of the world still lack this information or the information is outdated. We created a semi-automated workflow for the development of elements-at-risk (EaR) databases of buildings by detecting building footprints using deep learning and characterising the footprints with building occupancy information using building morphological metrics and open-source auxiliary data. The deep learning model was used to detect building EaR footprints in a city in Kerala (India) with an F1 score of over 76%. The footprints were classified into 13 building occupancy types along with information such as average number of floors, total floor space area, building density, and percentage of built-up area. We analysed the transferability of the approach to a different city in Kerala and obtained an almost similar F1 score of 74%. We also examined the exposure of the buildings and the associated occupancies to floods using the 2018 flood susceptibility map of the respective cities. We notice certain shortcomings in our research particularly, the need for a local expert and good quality auxiliary data to obtain reasonable building occupancy information, however, our research contributes to developing a rapid method for generating a building EaR database in data-scarce regions with attributes of occupancy types, thus supporting regional risk assessment, disaster risk mitigation, risk reduction initiatives, and policy developments.",,2022.0,https://openalex.org/W4296186954,openalex,
Digital Twin for Civil Engineering Systems: An Exploratory Review for Distributed Sensing Updating,"Mattia Francesco Bado, Daniel Tonelli, Francesca Poli, Daniele Zonta, Joan R. Casas","We live in an environment of ever-growing demand for transport networks, which also have ageing infrastructure. However, it is not feasible to replace all the infrastructural assets that have surpassed their service lives. The commonly established alternative is increasing their durability by means of Structural Health Monitoring (SHM)-based maintenance and serviceability. Amongst the multitude of approaches to SHM, the Digital Twin model is gaining increasing attention. This model is a digital reconstruction (the Digital Twin) of a real-life asset (the Physical Twin) that, in contrast to other digital models, is frequently and automatically updated using data sampled by a sensor network deployed on the latter. This tool can provide infrastructure managers with functionalities to monitor and optimize their asset stock and to make informed and data-based decisions, in the context of day-to-day operative conditions and after extreme events. These data not only include sensor data, but also include regularly revalidated structural reliability indices formulated on the grounds of the frequently updated Digital Twin model. The technology can be even pushed as far as performing structural behavioral predictions and automatically compensating for them. The present exploratory review covers the key Digital Twin aspects-its usefulness, modus operandi, application, etc.-and proves the suitability of Distributed Sensing as its network sensor component.",,2022.0,https://openalex.org/W4224220652,openalex,
Preliminary Resource-based Estimates Combining Artificial Intelligence Approaches and Traditional Techniques,"Borja García de Soto, Bryan T. Adey","The fate of many construction projects is determined using preliminary project cost estimates. These estimates play a key role during the conceptual phase of projects; as in many cases they are the primary element used to decide their viability. The lack of information and the high levels of uncertainty during the conceptual phase, make it infeasible to have reliable building information models that could be used to generate quantity takeoffs for preliminary cost estimates (known in the industry as 5D BIM), in line with a Level 2 BIM maturity. This paper presents a way to combine artificial intelligence (case-based reasoning and neural networks), with traditional techniques (regression analysis), to develop accurate estimates of the resources needed in a project (e.g., construction material quantities). These estimates of resources can then be coupled with unit cost information to make preliminary resource-based cost estimates. The clear division between the technical and financial components of such an estimate gives improved decision support to project managers and decision makers. This enhances the tracking and control mechanisms which could be used to check the estimates prepared in subsequent project phases. The combination of case-based reasoning with regression analysis and the use of neural networks has shown an improved performance in the estimation of the amount construction material quantities. The proposed combination was used to estimate the amount of concrete, reinforcement, and structural steel required for the construction of tall-frame structures. The results show lower errors (overall mean absolute percentage error-MAPE) for the combined models (2.55%) when compared to the regression models (12.01%), neural network models (5.84%), and case-based reasoning models (9.30%).",,2016.0,https://openalex.org/W2557329453,openalex,
Deep Underground Engineering and The Use of Artificial Intelligence Techniques,"Luís Sousa, Tiago Milagres Miranda, Rita L. Sousa, Joaquim Tinoco","The use of underground space for engineering systems has been increasing worldwide. Underground geoengineering is characterized by complex, uncertain geology and geomechanics that present challenges and require new tecniques to be dealt with. These challenges include large overburden which cause high stresses and temperatures, that require complicated engineering design. Additional environmental challenges exist in cases related to petroleum engineering, nuclear waste disposal, storage of products and energy, storage of CO2, geothermal energy and others. In large projects, typically a large amount of geotechnical data is generated. This data can hold valuable information that can be used to improve decision making and optimize design and construction processes. It is therefore necessary to define standard ways of collecting, organizing and representing the obtained data. There are automated Artificial Intelligence (AI) tools and pattern recognition techniques that enable one to analyze this vast data - Data Mining (DM) techniques. After discussing the general challenges associated with deep underground engineering and the application of AI and DM techniques in underground construction, this paper presents case studies where innovative DM-based techniques were developed and applied by the authors. In particular, the paper demonstrates the application of DM to the design and construction of a large and deep underground hydroelectric scheme, an underground laboratory, and undergound mining specifically based on rockburst risk assessments.",,2018.0,https://openalex.org/W2938549598,openalex,
Advancements in Artificial Intelligence-Based Decision Support Systems for Improving Construction Project Sustainability: A Systematic Literature Review,"Craig John Smith, Andy T.C. Wong","This paper aims at evaluating the current state of research into artificial intelligence (AI)-based decision support systems (DSS) for improving construction project sustainability. The literature was systematically reviewed to explore the use of AI in the construction project lifecycle together with the consideration of the economic, environmental, and social goals of sustainability. A total of 2688 research papers were reviewed, and 77 papers were further analyzed, and the major tasks of the DSSs were categorized. Our review results suggest that the main research stream is dedicated to early-stage project prediction (50% of all papers), with artificial neural networks (ANNs) and fuzzy logic (FL) being the most popular AI algorithms in use. Hybrid AI models were used in 46% of all studies. The goal for economic sustainability is the most considered in research, with 87% of all papers considering this goal, and there is evidence given of a trend towards the environmental and social goals of sustainability receiving increasing attention throughout the latter half of the decade.",,2022.0,https://openalex.org/W4280517961,openalex,
Resilience Indicator of Urban Transport Infrastructure: A Review on Current Approaches,"Zhuyu Yang, Bruno Barroca, Aurélia Bony-Dandrieux, Hélène Dolidon","Urban transport infrastructures (TIs) play a central role in an urban society that faces more and more disasters. TIs, part of critical infrastructures (CIs), are highly correlated with urban disaster management in terms of their resilience when cities are facing a crisis or disaster. According to many studies, indicator assessment has been frequently used for the resilience management of CIs in recent decades. Defining and characterizing indicators can be useful for disaster managers as it could help monitor and improve the capacities and performance of TIs. The purpose of this paper, therefore, is (1) to identify and summarize the existing indicators of TIs resilience from the currently available literature, and (2) to discuss the possible future studies of the resilience indicator of TIs. The first results indicated that there are some barriers to identify indicators following the common search method through keywords. Additionally, the indicators found are mainly related to technical information, the disruption stage, and internal TIs. Finally, due to the complexity of indicator assessment, sub-indicators and indicator spatialization are widely used in the resilience assessment of urban TIs studies.",,2022.0,https://openalex.org/W4214839551,openalex,
Significance of artificial intelligence in the development of sustainable transportation,"Dhulasi Priya S, K. Saranya","The idea of Sustainable development has gained more attention since it involves satisfying needs without degrading the environment. Sustainable development has many targets across various subjects in which Sustainable Transportation is one of the cores to sustainable development. The objective of sustainable transportation is to achieve social, environmental and economic growth with universal access, enhanced safety, improved resilience and infrastructure, reduction of emission in greenhouse gases, traffic management, freight management by different modes of transportation. It is vital and interlinked across several sustainable development goals (SDGs) and targets in the 2030 Agenda proposed by United Nations. There is a need to improve sustainable transportation, which can be achieved through artificial intelligence as it helps the sector to increase public transport, traffic safety, reduce accidents and improve traffic management, decrease carbon emissions, rise reliability and also leverage economic growth through methods like Fuzzy logic (FL), Artificial Neural Networks, Ant Colony Optimiser, Genetic algorithms, Swarm optimization algorithm, Simulated Annealing. It is also supported by Big Data Analysis, Internet of Things, Robotic process Automation. This paper addresses the overview of the importance of sustainable transportation along with the role of artificial intelligence in different modes of transportation, current level of sustainability across globe, progress in transport system and conclude with challenges and future improvements that can be made towards the goal.",,2023.0,https://openalex.org/W4383561087,openalex,
"Artificial intelligence and generative AI, such as ChatGPT, in transportation: Applications, technologies, challenges, and ethical considerations","Dimple Patil, Nitin Liladhar Rane, Jayesh Rane, Mallikarjuna Paramesha","The transportation industry is undergoing a major transformation driven by artificial intelligence (AI) and generative AI technologies, delivering new solutions to several traditional problems of the transport industry including congestion, security, and environmental concerns. This study examines key areas that highlight the transformative impact of AI on transportation: Features may include AI traffic control, predictive maintenance, optimal maintenance across infrastructures, self-driving automobiles, reinforcement of public transport systems, smart freight and shipping, natural language processing for customer care services, safety improvement through AI, and sustainability solutions. The incorporation of generative AI technologies, such as ChatGPT, encompasses a notable breakthrough particularly within urban environments. This review presents various uses of generative AI in transportation, that is, conversational agents for passengers, predictive maintenance, improved security measures, and efficient traffic control. Automated customer service chatbots help passengers book tickets online, select routes, and receive real-time information, increasing satisfaction. Predictive maintenance identifies potential breakdowns, enabling proactive corrective measures. However, it is important to note that AI incorporation presents ethical considerations, including fairness, data protection, privacy, and the prevention of biases.",,2024.0,https://openalex.org/W4403647605,openalex,
Artificial Intelligence for road quality assessment in smart cities: a machine learning approach to acoustic data analysis,"Senthil Kumar Jagatheesaperumal, Simon Elias Bibri, Shrivarshni Ganesan, Poongkalai Jeyaraman","Abstract In smart cities, ensuring road safety and optimizing transportation efficiency heavily relies on streamlined road condition monitoring. The application of Artificial Intelligence (AI) has notably enhanced the capability to detect road surfaces effectively. This study presents a novel approach to road condition monitoring in smart cities through the development of an acoustic data processing and analysis module. It focuses on four types of road conditions: smooth, slippery, grassy, and rough roads. To assess road conditions, a microphone integrated road surface detector unit is designed to collect audio signals, and an ultrasonic module is used to observe the road depth information. The whole hardware unit is installed in the wheel rim of the vehicles. The data collected from the road surfaces are then analyzed using machine learning algorithms, such as Multi-Layer Perceptron (MLP), Support Vector Machine (SVM), and Random Forest (RF). The results demonstrate the effectiveness of the proposed method in accurately identifying different road conditions. From these results, it was observed that the MLP provides better accuracy of 98.98% in assessing road conditions. The study provides valuable insights into the development of a more efficient and reliable road condition monitoring system for delivering secure transportation services in smart cities.",,2023.0,https://openalex.org/W4386504754,openalex,
Artificial Intelligence for Enhanced Mobility and 5G Connectivity in UAV-Based Critical Missions,"Silvia Lins, Kléber V. Cardoso, Cristiano Bonato Both, Luciano Leonel Mendes, José Ferreira de Rezende, Antônio Morais da Silveira, Neiva Linder, Aldebaro Klautau","In the context of Fifth Generation mobile networks (5G), Search and Rescue (SAR) missions using Unmanned Aerial Vehicles (UAVs) can benefit from a dynamic, intelligent, and autonomous placement of both Network Functions (NFs) and Artificial Intelligence (AI) systems to quickly adapt in minimal human intervention scenarios. This article examines current 5G architectures and timely standardization efforts within this context. The contribution of this work is to identify associated 5G components and propose AI modules that enable efficient UAV-based SAR missions: the System Intelligence (SI) and Edge Intelligence (EI) concepts. SI is conceived as the entity responsible for defining and orchestrating the placement and processing tasks of NFs and AI systems, while EI is responsible for the optimization of AI-based end-user applications. The article also presents an open-source virtualized testbed that enables a concrete example of SI and EI roles in a SAR mission based on object detection with Deep Neural Networks (DNNs). In this proof-of-concept, the DNN layers are partitioned and the tradeoffs between communication and computational costs are highlighted. For instance, the results indicate that the latency can severely degrade the UAV trajectory and different DNN partitioning options can reduce the required bit rate to transmit DNN scores by more than three times.",,2021.0,https://openalex.org/W3194796580,openalex,
Real-time video fire/smoke detection based on CNN in antifire surveillance systems,"Sergio Saponara, Abdussalam Elhanashi, Alessio Gagliardi","Abstract This work presents a real-time video-based fire and smoke detection using YOLOv2 Convolutional Neural Network (CNN) in antifire surveillance systems. YOLOv2 is designed with light-weight neural network architecture to account the requirements of embedded platforms. The training stage is processed off-line with indoor and outdoor fire and smoke image sets in different indoor and outdoor scenarios. Ground truth labeler app is used to generate the ground truth data from the training set. The trained model was tested and compared to the other state-of-the-art methods. We used a large scale of fire/smoke and negative videos in different environments, both indoor (e.g., a railway carriage, container, bus wagon, or home/office) or outdoor (e.g., storage or parking area). YOLOv2 is a better option compared to the other approaches for real-time fire/smoke detection. This work has been deployed in a low-cost embedded device ( Jetson Nano ), which is composed of a single, fixed camera per scene, working in the visible spectral range. There are not specific requirements for the video camera. Hence, when the proposed solution is applied for safety on-board vehicles, or in transport infrastructures, or smart cities, the camera installed in closed-circuit television surveillance systems can be reused. The achieved experimental results show that the proposed solution is suitable for creating a smart and real-time video-surveillance system for fire/smoke detection.",,2020.0,https://openalex.org/W3100742769,openalex,
Smart roads: A state of the art of highways innovations in the Smart Age,"Andrea Pompigna, Raffaele Mauro","The years we are experiencing are often identified as those of the Age of Smart Technologies. Smart is now a very popular term, with the meaning of clever, intelligent, sharp, quick on the uptake. Its extensive meaning can be grasped if we consider it as an acronym for Self-Monitoring Analysis and Reporting Technology to indicate the essential features of the innovative technologies that characterize today's society in its daily life. Thus, the advent of the Smart Age, which is therefore the era of smart technologies, has heavily characterized and modified many aspects of today's society compared to the past. In this panorama, some arising questions regard transport infrastructure systems and, first of all, road transport. This research proposes a focus on one main issue: how roads fit into this smart revolution? Actually, the paper aims to offer an overview of the smart approach in road engineering by proposing a broad discussion about the current state of innovation in the smart roads field, i.e. the roads of the Smart Age. After defining the key functions of a smart road, the paper reviews some innovative technologies that make these items effective. These are studied in depth both with regard to motorway-type infrastructures and urban roads and intersections, with attention to the various technological aspects and to the benefits perceivable by management, users and the community. The paper, therefore, offers a bird's eye view of this extremely dynamic sector with innovative technologies for a new intelligent and connected mobility, and discusses some of their criticalities and strengths allowing for optimization and development of new transport functions and services, improving energy efficiency and promoting social, economic and environmental sustainability.",,2021.0,https://openalex.org/W3162054834,openalex,
Overview of Artificial Intelligence and Machine Learning,"A. Nur Zincir‐Heywood, Marco Mellia, Yixin Diao","Advances in artificial intelligence and machine learning (AI/ML) algorithms are not only the fastest growing areas but also provide endless possibilities in many different science and engineering disciplines including computer communication networks. These technologies are used by billions of people. Any person who has a smartphone can tangibly experience advances in communication networks, social media, natural language processing, and computer vision that were not possible just 10 years ago. Research is therefore needed to understand and improve the potential and suitability of AI/ML in general for communications and networking technologies, but also in particular for systems and networks operations and management.",,2021.0,https://openalex.org/W3197797906,openalex,
Towards 6G-Enabled Internet of Vehicles: Security and Privacy,"Diana Pamela Moya Osorio, Ijaz Ahmad, José David Vega Sánchez, Andrei Gurtov, Johan Scholliers, Matti Kutila, Pawani Porambage","The conceptualisation of the sixth generation of mobile wireless networks (6G) has already started with some potential disruptive technologies resonating as enablers for driving the emergence of a number of innovative applications. Particularly, 6G will be a prominent supporter for the evolution towards a truly Intelligent Transportation System and the realization of the Smart City concept by fulfilling the limitations of 5G, once vehicular networks are becoming highly dynamic and complex with stringent requirements on ultra-low latency, high reliability, and massive connections. More importantly, providing security and privacy to such critical systems should be a top priority as vulnerabilities can be catastrophic, thus there are huge concerns regarding data collected from sensors, people and their habits. In this paper, we provide a timely deliberation of the role that promissory 6G enabling technologies such as artificial intelligence, network softwarisation, network slicing, blockchain, edge computing, intelligent reflecting surfaces, backscatter communications, terahertz links, visible light communications, physical layer authentication, and cell-free massive multiple-input multiple-output (MIMO) will play on providing the expected level of security and privacy for the Internet of Vehicles.",,2022.0,https://openalex.org/W4206586673,openalex,
"Electric vehicle charging technologies, infrastructure expansion, grid integration strategies, and their role in promoting sustainable e-mobility","Arvind R. Singh, Pradeep Vishnuram, Sureshkumar Alagarsamy, Mohit Bajaj, Vojtěch Blažek, Issam Damaj, Rajkumar Singh Rathore, Fahd N. Al‐Wesabi, Kamal M. Othman","The transport sector is experiencing a notable transition towards sustainability, propelled by technological progress, innovative materials, and a dedication to environmental preservation. This study explicitly examines the incorporation of electric vehicles (EVs) into the power grid, with a particular emphasis on passenger automobiles. Our analysis emphasises the vital importance of updated transport infrastructure in decreasing greenhouse gas emissions and aiding carbon reduction efforts in electricity networks. The analysis uncovers that adopting electric vehicles offers significant advantages, including enhanced grid efficiency and decreased emissions. However, it also brings issues concerning the design and operation of power systems at both the transmission and distribution levels. Key players are crucial in tackling these difficulties to improve electric vehicle integration into the grid. The study determines the most effective ways for distributing and providing electric vehicle charging infrastructure, and investigates the efforts made to establish common standards in order to solve current challenges. This research contributes to the advancement of sustainable mobility and energy systems by conducting a thorough examination of the impact of electric vehicles on power systems and offering appropriate integration solutions.",,2024.0,https://openalex.org/W4400386483,openalex,
Formation of International Ethical Digital Environment with Smart Artificial Intelligence,Evgeny Bryndin,"Intellectual agent ensembles allow you to create digital environment by professional images with language, behavioral and active communications, when images and communications are implemented by agents with smart artificial intelligence. Through language, behavioral and active communications, intellectual agents implement collective activities. The ethical standard through intelligent agents allows you to regulate the safe use of ensembles made of robots and digital doubles with creative communication artificial intelligence in the social sphere, industry and other professional fields. The use of intelligent agents with smart artificial intelligence requires responsibility from the developer and owner for harming others. If harm to others occurred due to the mistakes of the developer, then he bears responsibility and costs. If the damage to others occurred due to the fault of the owner due to non-compliance with the terms of use, then he bears responsibility and costs. Ethical standard and legal regulation help intellectual agents with intelligent artificial intelligence become professional members of society. Ensembles of intelligent agents with smart artificial intelligence will be able to safely work with society as professional images with skills, knowledge and competencies, implemented in the form of retrained digital twins and cognitive robots that interact through language, behavioral and active ethical communications. Cognitive robots and digital doubles through self-developing ensembles of intelligent agents with synergistic interaction and intelligent artificial intelligence can master various high-tech professions and competencies. Their use in the industry increases labor productivity and economic efficiency of production. Their application in the social sphere improves the quality of life of a person and society. Their widespread application requires compliance with an ethical standard so that their use does not cause harm. The introduction and use of an ethical standard for the use of cognitive robots and digital doubles with smart artificial intelligence increases the safety of their use. Ethical relationships between individuals and intellectual agents will also be governed by an ethical standard.",,2021.0,https://openalex.org/W3126653842,openalex,
Review of Laser Scanning Technologies and Their Applications for Road and Railway Infrastructure Monitoring,"Mario Soilán, Ana Sánchez‐Rodríguez, Pablo del Río-Barral, C. Pérez-Collazo, Pedro Arias, B. Riveiro","Improving the resilience of infrastructures is key to reduce their risk vulnerability and mitigate impact from hazards at different levels (e.g., from increasing extreme events, driven by climate change); or from human-made events such as: accidents, vandalism or terrorist actions. One of the most relevant aspects of resilience is preparation. This is directly related to: (i) the risk prediction capability; (ii) the infrastructure monitoring; and (iii) the systems contributing to anticipate, prevent and prepare the infrastructure for potential damage. This work focuses on those methods and technologies that contribute to more efficient and automated infrastructure monitoring. Therefore, a review that summarizes the state of the art of LiDAR (Light Detection And Ranging)-based data processing is presented, giving a special emphasis to road and railway infrastructure. The most relevant applications related to monitoring and inventory transport infrastructures are discussed. Furthermore, different commercial LiDAR-based terrestrial systems are described and compared to offer a broad scope of the available sensors and tools to remote monitoring infrastructures based on terrestrial systems.",,2019.0,https://openalex.org/W2973342970,openalex,
Reducing transport sector CO2 emissions patterns: Environmental technologies and renewable energy,"Aleksy Кwilinski, Oleksii Lyulyov, Tetyana Pimonenko","The research explores the impact of environmental technologies and renewable energy on carbon dioxide (CO2) emissions from the EU transportation sector (2007-2020). Utilizing panel corrected standard error and feasible generalized least squares methods, the study uncovers key drivers influencing declining CO2 emissions. The results reveal a significant and variable effect of environmental technologies and renewable energy on CO2 emissions in the EU transport sector, emphasizing the positive correlation between increased renewable energy adoption and emission reduction. This underscores the necessity for heightened EU investment in sustainable transport infrastructure and clean energy solutions, encompassing initiatives like electric vehicles, hydrogen fuel cells, and biofuels. The study further recommends promoting renewable energy sources for transport systems, aligning with the broader goals of the European Green Deal and the EU Climate Law. Additionally, the research provides essential insights into policy implications, emphasizing a multifaceted approach including comprehensive strategies for cleaner transportation, innovation, and education to accelerate the transition towards sustainable practices in the EU.",,2024.0,https://openalex.org/W4391127125,openalex,
ADVANCING INFRASTRUCTURE IN DEVELOPING NATIONS: A SYNTHESIS OF AI INTEGRATION STRATEGIES FOR SMART PAVEMENT ENGINEERING,"Eche Samuel Okem, Emmanuel Adikwu Ukpoju, Abayomi B. David, Joy Otibhor Olurin","This research focuses on the transformational potential of artificial intelligence (AI) towards the field of pavement engineering, particularly considering underdeveloped nations. This exploratory study aims to shed light on the complex effects AI has on pavement engineering and management processes, as well as various strategic, policy, and ethical perspectives underpinning its implementation. By using a systematic process, the study builds on information from academic papers, case studies, and industry research to create more enriching knowledge on this topic. Through a robust study, it is shown that AI helps improve the composition of pavement materials building and maintenance routines. Such a study shows that AI can improve the level of economic benefits in the pavement infrastructure of underdeveloped countries. These key findings emphasize how AI reduces the costs of design, predictive maintenance models, and sustainable materials use. In addition, the study traverses through the difficult routes of policy and institutional frameworks, stating that the policies ought to be responsive while collaboration is required in promoting AI uptake. The discussion integrates ethics and the environment very carefully, as required by sustainability and equity. Lastly, the research presents an excellent argument for AI as an agent for constructing new and eco-friendly transportation infrastructure in poor countries. These countries’ recommended policies should be flexible, as they promote capacity building and ethics in AI with regard to infrastructure development as part of their developmental paths, which are simultaneously technical and social. Keywords: Artificial Intelligence, Pavement Engineering, Developing Nations, Sustainable Infrastructure, Ethical AI, Transportation",,2023.0,https://openalex.org/W4390887742,openalex,
